epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2855.83,2.01366,1.36939,1.01741,0.83811,0.85985,0.89755,0.44602,1.69215,0.98922,0.87697,0.0009506,0.0009506,0.0009506
55,2909.18,1.95682,1.33294,1.00992,0.82875,0.84933,0.88766,0.41796,1.78058,1.0136,0.88817,0.0009308,0.0009308,0.0009308
56,2962.1,1.96289,1.31087,1.00642,0.83639,0.87139,0.9035,0.45561,1.77902,0.96469,0.89247,0.000911,0.000911,0.000911
57,3016.29,1.97158,1.35199,1.01234,0.84201,0.84785,0.89201,0.44598,1.68686,1.01334,0.88076,0.0008912,0.0008912,0.0008912
58,3069.52,1.94209,1.32949,1.00026,0.85002,0.84722,0.90232,0.45714,1.64786,0.94276,0.87303,0.0008714,0.0008714,0.0008714
59,3122.61,1.95364,1.31725,1.00381,0.77034,0.77928,0.83377,0.40143,1.8226,1.07425,0.89915,0.0008516,0.0008516,0.0008516
60,3175.84,1.93965,1.30346,1.00169,0.85409,0.85354,0.88844,0.44804,1.64918,0.9985,0.87444,0.0008318,0.0008318,0.0008318
61,3228.11,1.94685,1.30781,0.99726,0.84171,0.86611,0.90523,0.47615,1.66215,0.94994,0.87435,0.000812,0.000812,0.000812
62,3281.03,1.91204,1.28485,1.00085,0.84536,0.86995,0.89102,0.458,1.66688,0.98538,0.87814,0.0007922,0.0007922,0.0007922
63,3333.76,1.89266,1.28414,0.99741,0.84484,0.88636,0.90428,0.47233,1.6518,0.96546,0.87507,0.0007724,0.0007724,0.0007724
64,3386.62,1.92741,1.2931,0.99619,0.85329,0.81818,0.89317,0.4512,1.71881,0.99278,0.87938,0.0007526,0.0007526,0.0007526
65,3440.73,1.91666,1.28274,0.99412,0.8404,0.86995,0.89962,0.46594,1.65547,0.95994,0.87359,0.0007328,0.0007328,0.0007328
66,3493.5,1.88756,1.2735,0.99216,0.83438,0.83965,0.88346,0.44654,1.71486,0.98267,0.88117,0.000713,0.000713,0.000713
67,3547.51,1.91216,1.26953,0.99794,0.84851,0.84722,0.90126,0.471,1.64213,0.96884,0.87014,0.0006932,0.0006932,0.0006932
68,3601.82,1.9157,1.29768,0.99243,0.84707,0.85354,0.89781,0.4485,1.69965,0.97065,0.87669,0.0006734,0.0006734,0.0006734
69,3654.67,1.88128,1.26349,0.98619,0.82484,0.85617,0.8903,0.46366,1.62546,0.95769,0.86764,0.0006536,0.0006536,0.0006536
70,3708.27,1.84752,1.24074,0.9822,0.83471,0.86742,0.88827,0.4529,1.65823,0.95345,0.87583,0.0006338,0.0006338,0.0006338
71,3761.13,1.86094,1.24031,0.98474,0.83162,0.85354,0.8902,0.43968,1.7118,0.95639,0.87847,0.000614,0.000614,0.000614
72,3813.75,1.84978,1.25446,0.9787,0.8441,0.83712,0.88155,0.42943,1.73192,0.99113,0.88215,0.0005942,0.0005942,0.0005942
73,3866.76,1.87668,1.25632,0.989,0.83785,0.86111,0.90461,0.46573,1.62127,0.92587,0.86763,0.0005744,0.0005744,0.0005744
74,3920.9,1.88701,1.23715,0.98685,0.84375,0.81818,0.87951,0.44051,1.69287,0.96194,0.87959,0.0005546,0.0005546,0.0005546
75,3973.91,1.85247,1.2464,0.98285,0.82026,0.82197,0.87902,0.44725,1.70678,0.96986,0.87988,0.0005348,0.0005348,0.0005348
76,4027.24,1.87121,1.24316,0.98437,0.84466,0.80934,0.86909,0.44146,1.72071,1.02543,0.88251,0.000515,0.000515,0.000515
77,4080.91,1.85765,1.24154,0.98209,0.86554,0.84975,0.91339,0.48089,1.63831,0.91977,0.87204,0.0004952,0.0004952,0.0004952
78,4133.79,1.83368,1.22817,0.9747,0.85723,0.85732,0.89844,0.46072,1.67796,0.94254,0.87512,0.0004754,0.0004754,0.0004754
79,4188.52,1.8151,1.20583,0.96811,0.85273,0.85985,0.89131,0.46037,1.66159,0.92045,0.87154,0.0004556,0.0004556,0.0004556
80,4241.57,1.84089,1.21655,0.97741,0.86285,0.86586,0.89777,0.4722,1.62217,0.93701,0.86849,0.0004358,0.0004358,0.0004358
81,4295.55,1.80664,1.1998,0.97081,0.85297,0.8548,0.8882,0.4318,1.73568,0.93323,0.8812,0.000416,0.000416,0.000416
82,4348.74,1.81879,1.20501,0.97316,0.8556,0.86033,0.89794,0.45593,1.68887,0.93243,0.87443,0.0003962,0.0003962,0.0003962
83,4402.97,1.79214,1.18721,0.96545,0.85886,0.86995,0.89573,0.45322,1.67354,0.92113,0.87412,0.0003764,0.0003764,0.0003764
84,4456.49,1.80491,1.20317,0.9711,0.86658,0.87121,0.9017,0.46213,1.66311,0.91681,0.87198,0.0003566,0.0003566,0.0003566
85,4509.79,1.81295,1.20788,0.96914,0.84527,0.86869,0.89922,0.47081,1.63779,0.9129,0.86851,0.0003368,0.0003368,0.0003368
86,4563.8,1.82229,1.19198,0.97138,0.84939,0.883,0.90297,0.47568,1.63742,0.92009,0.87095,0.000317,0.000317,0.000317
87,4616.74,1.79552,1.16097,0.97065,0.83391,0.875,0.88798,0.43787,1.71128,0.94433,0.88082,0.0002972,0.0002972,0.0002972
88,4670.44,1.80448,1.18275,0.97444,0.84486,0.87121,0.89411,0.46081,1.66539,0.94187,0.87223,0.0002774,0.0002774,0.0002774
89,4722.52,1.80303,1.1866,0.97195,0.8622,0.88479,0.91209,0.49111,1.59841,0.91571,0.86688,0.0002576,0.0002576,0.0002576
90,4775.52,1.78806,1.16527,0.97183,0.85327,0.88111,0.90602,0.47342,1.62738,0.92207,0.86807,0.0002378,0.0002378,0.0002378
91,4821.67,1.54481,0.88508,0.94006,0.85727,0.87121,0.90103,0.4646,1.68529,0.93806,0.87235,0.000218,0.000218,0.000218
92,4865.43,1.50475,0.86049,0.9372,0.83551,0.8952,0.91148,0.48162,1.63991,0.9246,0.86563,0.0001982,0.0001982,0.0001982
93,4909.6,1.50555,0.8749,0.93938,0.84176,0.85973,0.90129,0.45719,1.69589,0.94362,0.87298,0.0001784,0.0001784,0.0001784
94,4954.69,1.48751,0.8579,0.9332,0.84829,0.86995,0.90967,0.46834,1.69734,0.9312,0.87156,0.0001586,0.0001586,0.0001586
95,4999.32,1.49743,0.8426,0.93499,0.85015,0.875,0.91481,0.47081,1.6773,0.91969,0.86791,0.0001388,0.0001388,0.0001388
96,5044.22,1.48343,0.85695,0.93036,0.85016,0.8668,0.91184,0.465,1.70158,0.92388,0.8724,0.000119,0.000119,0.000119
97,5088.61,1.50008,0.85064,0.93953,0.84933,0.86364,0.90629,0.4453,1.75964,0.92979,0.87874,9.92e-05,9.92e-05,9.92e-05
98,5132.37,1.46792,0.84025,0.92406,0.84524,0.87626,0.91231,0.46219,1.71098,0.92099,0.87323,7.94e-05,7.94e-05,7.94e-05
99,5176.21,1.48319,0.8361,0.93079,0.85701,0.87374,0.91609,0.47393,1.68019,0.90604,0.86889,5.96e-05,5.96e-05,5.96e-05
100,5219.81,1.46019,0.83876,0.92393,0.85153,0.87625,0.91333,0.45777,1.73929,0.91694,0.875,3.98e-05,3.98e-05,3.98e-05
