epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
65,15578.9,0.72179,0.51716,0.06247,0.86838,0.90152,0.92984,0.51939,0.46664,0.45822,0.03133,0.0007328,0.0007328,0.0007328
66,15818.8,0.70996,0.52149,0.06267,0.83473,0.89899,0.90701,0.4468,0.54015,0.46429,0.04161,0.000713,0.000713,0.000713
67,16058.1,0.72783,0.5241,0.06569,0.87305,0.91919,0.92642,0.44916,0.52169,0.47803,0.04292,0.0006932,0.0006932,0.0006932
68,16297.9,0.72706,0.52009,0.06624,0.86444,0.91162,0.93927,0.45952,0.51355,0.48073,0.04373,0.0006734,0.0006734,0.0006734
69,16537.2,0.69956,0.52583,0.06504,0.87098,0.90278,0.92572,0.41293,0.55914,0.4908,0.04958,0.0006536,0.0006536,0.0006536
70,16776.5,0.69165,0.52054,0.05947,0.83904,0.90025,0.90445,0.49372,0.47945,0.48321,0.034,0.0006338,0.0006338,0.0006338
71,17015.6,0.69681,0.52073,0.05822,0.87003,0.91162,0.92937,0.50476,0.47085,0.46729,0.0334,0.000614,0.000614,0.000614
72,17255,0.685,0.51855,0.05823,0.86838,0.90909,0.9296,0.51403,0.46334,0.45628,0.03327,0.0005942,0.0005942,0.0005942
73,17494.6,0.69665,0.52217,0.06039,0.88427,0.91654,0.93383,0.38365,0.59434,0.49209,0.05726,0.0005744,0.0005744,0.0005744
74,17733.9,0.69378,0.5197,0.05853,0.88558,0.91858,0.94426,0.5222,0.45277,0.44965,0.03101,0.0005546,0.0005546,0.0005546
75,17973.5,0.68107,0.52422,0.05708,0.88184,0.89899,0.93861,0.51345,0.46769,0.45243,0.03433,0.0005348,0.0005348,0.0005348
76,18213.3,0.68075,0.52814,0.06085,0.88815,0.92172,0.94892,0.51342,0.46931,0.45763,0.03654,0.000515,0.000515,0.000515
77,18453.2,0.68027,0.51854,0.05432,0.87044,0.92424,0.92549,0.49268,0.47498,0.46215,0.03515,0.0004952,0.0004952,0.0004952
78,18693,0.67394,0.51948,0.05524,0.85396,0.93029,0.9385,0.53218,0.44201,0.4577,0.02882,0.0004754,0.0004754,0.0004754
79,18932.6,0.67865,0.52121,0.05838,0.87248,0.93301,0.94076,0.52174,0.45066,0.4575,0.03288,0.0004556,0.0004556,0.0004556
80,19171.9,0.66986,0.51454,0.05566,0.86,0.91667,0.93296,0.51725,0.46596,0.45319,0.03022,0.0004358,0.0004358,0.0004358
81,19410.9,0.65692,0.51308,0.05462,0.87672,0.91035,0.93655,0.51898,0.4552,0.45526,0.03006,0.000416,0.000416,0.000416
82,19650.4,0.66628,0.51866,0.05671,0.88149,0.92979,0.95123,0.55469,0.42631,0.45517,0.0278,0.0003962,0.0003962,0.0003962
83,19890,0.65449,0.51509,0.05694,0.88111,0.91707,0.94173,0.54849,0.43404,0.45109,0.03104,0.0003764,0.0003764,0.0003764
84,20129.1,0.67563,0.5171,0.05811,0.87882,0.93056,0.94121,0.53823,0.43034,0.45332,0.02886,0.0003566,0.0003566,0.0003566
85,20368.5,0.66781,0.51206,0.06128,0.87852,0.92226,0.94528,0.51035,0.46607,0.46895,0.03674,0.0003368,0.0003368,0.0003368
86,20607.9,0.6495,0.52134,0.05346,0.87969,0.93813,0.94616,0.53171,0.43442,0.44744,0.03279,0.000317,0.000317,0.000317
87,20847.3,0.64324,0.51363,0.05447,0.88363,0.92037,0.94415,0.54118,0.42789,0.44832,0.02927,0.0002972,0.0002972,0.0002972
88,21087.1,0.64806,0.51148,0.05957,0.88526,0.91162,0.94171,0.5471,0.42752,0.44728,0.02811,0.0002774,0.0002774,0.0002774
89,21326.5,0.6587,0.51075,0.05635,0.87364,0.93813,0.95486,0.56489,0.41244,0.44741,0.02749,0.0002576,0.0002576,0.0002576
90,21566.5,0.64776,0.50663,0.06227,0.88101,0.91619,0.9505,0.53864,0.44272,0.45555,0.03248,0.0002378,0.0002378,0.0002378
91,21807.6,0.45735,0.46484,0.03736,0.89013,0.91919,0.94706,0.51351,0.46565,0.45482,0.03543,0.000218,0.000218,0.000218
92,22047.5,0.43758,0.46136,0.03496,0.88807,0.92162,0.95307,0.53206,0.45011,0.44685,0.03258,0.0001982,0.0001982,0.0001982
93,22287.2,0.43303,0.46653,0.03452,0.89298,0.92707,0.95988,0.55125,0.43463,0.43701,0.02639,0.0001784,0.0001784,0.0001784
94,22527.5,0.42724,0.4623,0.0336,0.89431,0.93308,0.96911,0.54768,0.4338,0.44375,0.03012,0.0001586,0.0001586,0.0001586
95,22767.2,0.4368,0.45535,0.03431,0.89262,0.92551,0.95949,0.55561,0.41934,0.43959,0.02615,0.0001388,0.0001388,0.0001388
96,23007.4,0.428,0.45778,0.03356,0.90544,0.90404,0.95812,0.55283,0.42496,0.4392,0.028,0.000119,0.000119,0.000119
97,23246.6,0.42432,0.45388,0.03247,0.89117,0.92045,0.95778,0.55005,0.42623,0.43687,0.02616,9.92e-05,9.92e-05,9.92e-05
98,23486.3,0.421,0.45134,0.03277,0.88383,0.93182,0.95703,0.55153,0.4211,0.43637,0.02666,7.94e-05,7.94e-05,7.94e-05
99,23725.6,0.41563,0.44819,0.03174,0.89553,0.92045,0.96271,0.55834,0.41699,0.43473,0.02623,5.96e-05,5.96e-05,5.96e-05
100,23965.1,0.41852,0.45221,0.03136,0.89867,0.90657,0.96494,0.56696,0.4153,0.4337,0.0263,3.98e-05,3.98e-05,3.98e-05
